query_name,returned_name,use?,taxon_id,rank
Myzomela adolphinae,Myzomela,no,108837,genus
Cracticus torquatus,Cracticus torquatus,yes,1120791,species
Ptiloprora mayri,Ptiloprora,no,9147,genus
Rhipidura albolimbata,Rhipidura albolimbata,yes,667181,species
Arses telescopthalmus,Arses telescopthalmus,yes,338444,species
Cheramoeca leucosterna,Cheramoeca,yes,317114,genus
Epimachus fastuosus,Epimachus fastuosus,yes,28714,species
Gymnomyza aubryana,Gymnomyza,no,572100,genus
Rhipidura fuliginosa,Rhipidura fuliginosa,yes,381039,species
Melidectes rufocrissalis,Melidectes,no,43160,genus
Coracina dispar,Coracina dispar,yes,424869,species
Acanthiza murina,Acanthiza murina,yes,117493,species
Aplonis pelzelni,Aplonis pelzelni,yes,451391,species
Myiagra alecto,Myiagra alecto,yes,338447,species
Pomarea iphis,Pomarea iphis,yes,121425,species
Rhipidura lepida,Rhipidura,no,107227,genus
Melanocharis striativentris,Melanocharis,no,175123,genus
Gerygone dorsalis,Gerygone,no,117202,genus
Pachycephalopsis poliosoma,Pachycephalopsis poliosoma,yes,254571,species
Cinnyris solaris,Cinnyris,no,570433,genus
Coracina insperata,Coracina,no,108824,genus
Ficedula harterti,Ficedula harterti,yes,393715,species
Stagonopleura oculata,Stagonopleura,no,247739,genus
Rhipidura rufiventris,Rhipidura rufiventris,yes,381043,species
Pitta iris,Pitta iris,yes,363774,species
Bradypterus timorensis,Bradypterus,no,203786,genus
Aplonis insularis,Aplonis insularis,yes,451389,species
Oreomystis bairdi,Oreomystis bairdi,yes,64806,species
Myzomela rosenbergii,Myzomela rosenbergii,yes,266324,species
Artamus cinereus,Artamus cinereus,yes,335548,species
Malurus grayi,Malurus grayi,yes,1034723,species
Chlamydera guttata,Chlamydera guttata,yes,1055202,species
Amytornis housei,Amytornis housei,yes,556927,species
Rhipidura rufidorsa,Rhipidura rufidorsa,yes,381042,species
Rhipidura albiscapa,Rhipidura albiscapa,yes,315356,species
Philemon subcorniculatus,Philemon,no,108843,genus
Melanocharis nigra,Melanocharis nigra,yes,175124,species
Artamus mentalis,Artamus,yes,585475,species
Zosterops sanctaecrucis,Zosterops,no,36298,genus
Philemon citreogularis,Philemon citreogularis,yes,266328,species
Pteridophora alberti,Pteridophora alberti,yes,681206,species
Anthochaera chrysoptera,Anthochaera chrysoptera,yes,266367,species
Myiagra fulviventris,Myiagra,no,107223,genus
Zosterops atrifrons,Zosterops atrifrons,yes,589875,species
Coracina holopolia,Coracina holopolia,yes,381021,species
Cettia ruficapilla,Cettia ruficapilla,yes,359650,species
Certhionyx variegatus,Certhionyx variegatus,yes,266344,species
Androphobus viridis,Androphobus viridis,yes,977957,species
Pachycephala rufogularis,Pachycephala,yes,461221,species
Amalocichla sclateriana,Amalocichla sclateriana,yes,692107,species
Rhipidura fuscorufa,Rhipidura fuscorufa,yes,667189,species
Myiagra vanikorensis,Myiagra,no,107223,genus
Pachycephala lorentzi,Pachycephala lorentzi,yes,449372,species
Zosterops inornatus,Zosterops inornatus,yes,589882,species
Heteromunia pectoralis,Heteromunia pectoralis,yes,247810,species
Cormobates placens,Cormobates placens,yes,181835,species
Rhipidura nebulosa,Rhipidura,no,107227,genus
Monarcha axillaris,Monarcha axillaris,yes,175126,species
Crateroscelis nigrorufa,Crateroscelis,no,692108,genus
Coracina schisticeps,Coracina,no,108824,genus
Sphecotheres viridis,Sphecotheres,no,254660,genus
Amytornis barbatus,Amytornis barbatus,yes,722644,species
Sericornis perspicillatus,Sericornis perspicillatus,yes,266333,species
Amytornis striatus,Amytornis striatus,yes,266391,species
Turnagra capensis,Turnagra capensis,yes,46906,species
Eumyias panayensis,Eumyias panayensis,yes,573048,species
Basilornis galeatus,Basilornis,no,451429,genus
Ptiloris magnificus,Ptiloris magnificus,yes,181836,species
Epimachus meyeri,Epimachus meyeri,yes,36260,species
Dicaeum geelvinkianum,Dicaeum geelvinkianum,yes,667155,species
Zosterops luteus,Zosterops luteus,yes,589900,species
Lalage atrovirens,Lalage atrovirens,yes,880549,species
Xanthotis provocator,Xanthotis,no,266388,genus
Paradigalla brevicauda,Paradigalla brevicauda,yes,681195,species
Lonchura vana,Lonchura,no,40156,genus
Myzomela melanocephala,Myzomela,no,108837,genus
Coracina ceramensis,Coracina ceramensis,yes,424872,species
Psophodes cristatus,Psophodes,no,461241,genus
Moho braccatus,Moho braccatus,yes,572106,species
Sericulus aureus,Sericulus aureus,yes,507602,species
Petroica australis,Petroica australis,yes,256038,species
Coracina monacha,Coracina,no,108824,genus
Poecilodryas cerviniventris,Poecilodryas cerviniventris,yes,665156,species
